0x25b6310,funccall,dcgettext,1,6,0,0x25b6310_1,0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,na
0x25b6310_1,funccall,bad_prog,0,1,0,na,0x25b6310,na
0x25b6b80,funccall,bad_command,0,6,0,na,0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,na
0x25b6c20,funccall,dcgettext,1,6,0,0x25b6c20_1,0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,na
0x25b6c20_1,funccall,bad_prog,0,1,0,na,0x25b6c20,na
0x25b7d50,funccall,dcgettext,1,6,0,0x25b7d50_1,0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,na
0x25b7d50_1,funccall,bad_prog,0,1,0,na,0x25b7d50,na
0x25b7f80,funccall,__uflow,6,6,2,0x25c1350:0x25c13a0:0x25b4fb0:0x25b4bf0:0x25b86b0:0x25b82a0,0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,0x25b5000:0x25b5050
0x25b82a0,funccall,ftell,5,7,2,0x25c1350:0x25c13a0:0x25b4fb0:0x25b4bf0:0x25b86b0,0x25b7f80:0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,0x25b5000:0x25b5050
0x25b86b0,funccall,__uflow,4,9,3,0x25c1350:0x25c13a0:0x25b4fb0:0x25b4bf0,0x25b82a0:0x25b5050:0x25b5140:0x25b5960:0x25b86b0:0x25b7f80:0x25b6130:0x25b5b90:0x25b5370,0x25b5000:0x25b5050:0x25b86b0
0x25b87f0,funccall,read_label,2,6,0,0x25b8840:0x25b8890,0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,na
0x25b8840,funccall,dcgettext,1,1,0,0x25b8840_1,0x25b87f0,na
0x25b8840_1,funccall,bad_prog,0,1,0,na,0x25b8840,na
0x25b8890,funccall,free,4,1,2,0x25c1350:0x25c13a0:0x25b4fb0:0x25b4bf0,0x25b87f0,0x25b5000:0x25b5050
0x25b8930,funccall,_obstack_newchunk,4,6,2,0x25c1350:0x25c13a0:0x25b4fb0:0x25b4bf0,0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,0x25b5000:0x25b5050
0x25b8ac0,funccall,dcgettext,1,6,0,0x25b8ac0_1,0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,na
0x25b8ac0_1,funccall,bad_prog,0,1,0,na,0x25b8ac0,na
0x25b8b60,funccall,dcgettext,1,6,0,0x25b8b60_1,0x25b5050:0x25b5140:0x25b5960:0x25b6130:0x25b5b90:0x25b5370,na
0x25b8b60_1,funccall,bad_prog,0,1,0,na,0x25b8b60,na
