0x298a630,epoint,1,0,0,0x298a630_0,na,na
0x298ea40,funccall,dcgettext,10,1,0,0x298ffd0:0x2990110:0x298f490:0x298efe0:0x298fbc0:0x298f710:0x298f8a0:0x298fa30:0x298fd50:0x298eea0,0x298e9a0,na
0x298eb80,funccall,grepbuf,11,6,0,0x298ffd0:0x2990110:0x298f490:0x298efe0:0x298fbc0:0x298f710:0x298f8a0:0x298fa30:0x298fd50:0x298eea0:0x298ed10,0x298da50:0x298daa0:0x298e9a0:0x298d5a0:0x298daf0:0x298db90,na
0x298ed10,funccall,prline,10,8,1,0x298ffd0:0x2990110:0x298f490:0x298efe0:0x298fbc0:0x298f710:0x298f8a0:0x298fa30:0x298fd50:0x298eea0,0x298ed10:0x298eb80:0x298da50:0x298daa0:0x298e9a0:0x298d5a0:0x298daf0:0x298db90,0x298ed10
0x298eea0,funccall,dcgettext,10,11,0,0x298ffd0:0x2990110:0x298f490:0x298efe0:0x298fbc0:0x298f710:0x298f8a0:0x298fa30:0x298fd50:0x298eef0,0x298ed10:0x298da50:0x298daa0:0x298e9a0:0x298d5a0:0x298eb80:0x298e2c0:0x298e130:0x298ea40:0x298daf0:0x298db90,na
0x298eef0,funccall,dcgettext,9,1,0,0x298ffd0:0x2990110:0x298f490:0x298efe0:0x298fbc0:0x298f710:0x298f8a0:0x298fa30:0x298fd50,0x298eea0,na
0x298efe0,funccall,print_filename,5,16,0,0x298f490:0x298f1c0:0x298f300:0x298f0d0:0x298f3f0,0x298eea0:0x298eef0:0x298ed10:0x298da50:0x298daa0:0x298e9a0:0x298d5a0:0x298eb80:0x298e2c0:0x298e130:0x298ea40:0x298daf0:0x298db90:0x298d640:0x298d4b0:0x298d3c0,na
0x298f0d0,funccall,print_start_colorize,3,1,0,0x298f490:0x298f1c0:0x298f300,0x298efe0,na
0x298f1c0,funccall,__overflow,2,2,0,0x298f490:0x298f300,0x298f0d0:0x298efe0,na
0x298f300,funccall,print_end_colorize,1,3,0,0x298f490,0x298f1c0:0x298f0d0:0x298efe0,na
0x298f3f0,funccall,__overflow,1,1,0,0x298f490,0x298efe0,na
0x298f490,funccall,printf_errno,8,21,0,0x298ffd0:0x2990110:0x298fbc0:0x298f710:0x298f8a0:0x298fa30:0x298fd50:0x298f4e0,0x298f300:0x298f3f0:0x298eea0:0x298eef0:0x298ed10:0x298da50:0x298daa0:0x298e9a0:0x298d5a0:0x298f1c0:0x298f0d0:0x298efe0:0x298eb80:0x298e2c0:0x298e130:0x298ea40:0x298daf0:0x298db90:0x298d640:0x298d4b0:0x298d3c0,na
0x298f4e0,funccall,fflush,7,1,0,0x298ffd0:0x2990110:0x298fbc0:0x298f710:0x298f8a0:0x298fa30:0x298fd50,0x298f490,na
0x298f710,funccall,lseek,3,18,0,0x2990110:0x298f8a0:0x298fa30,0x298f490:0x298f4e0:0x298eea0:0x298eef0:0x298ed10:0x298da50:0x298daa0:0x298e9a0:0x298d5a0:0x298eb80:0x298e2c0:0x298e130:0x298ea40:0x298daf0:0x298db90:0x298d640:0x298d4b0:0x298d3c0,na
0x298f8a0,funccall,splice,5,19,0,0x298ffd0:0x2990110:0x298fa30:0x298f990:0x298fc60,0x298f490:0x298f4e0:0x298eea0:0x298eef0:0x298ed10:0x298da50:0x298daa0:0x298e9a0:0x298d5a0:0x298f710:0x298eb80:0x298e2c0:0x298e130:0x298ea40:0x298daf0:0x298db90:0x298d640:0x298d4b0:0x298d3c0,na
0x298f990,funccall,splice,3,2,1,0x298ffd0:0x2990110:0x298fc60,0x298f990:0x298f8a0,0x298f990
0x298fa30,funccall,safe_read,3,21,1,0x298ffd0:0x2990110:0x298fc60,0x298f490:0x298f4e0:0x298eea0:0x298eef0:0x298ed10:0x298da50:0x298daa0:0x298e9a0:0x298d5a0:0x298f710:0x298f8a0:0x298fa30:0x298eb80:0x298e2c0:0x298e130:0x298ea40:0x298daf0:0x298db90:0x298d640:0x298d4b0:0x298d3c0,0x298fa30
0x298fbc0,funccall,lseek,3,18,0,0x298ffd0:0x2990110:0x298fc60,0x298f490:0x298f4e0:0x298eea0:0x298eef0:0x298ed10:0x298da50:0x298daa0:0x298e9a0:0x298d5a0:0x298eb80:0x298e2c0:0x298e130:0x298ea40:0x298daf0:0x298db90:0x298d640:0x298d4b0:0x298d3c0,na
0x298fc60,funccall,dcgettext,2,4,0,0x298ffd0:0x2990110,0x298fbc0:0x298f990:0x298f8a0:0x298fa30,na
0x298fd50,funccall,print_filename,4,18,0,0x298ffd0:0x2990110:0x298fdf0:0x298fee0,0x298f490:0x298f4e0:0x298eea0:0x298eef0:0x298ed10:0x298da50:0x298daa0:0x298e9a0:0x298d5a0:0x298eb80:0x298e2c0:0x298e130:0x298ea40:0x298daf0:0x298db90:0x298d640:0x298d4b0:0x298d3c0,na
0x298fdf0,funccall,__overflow,3,1,0,0x298ffd0:0x2990110:0x298fee0,0x298fd50,na
0x298fee0,funccall,fflush,2,2,0,0x298ffd0:0x2990110,0x298fdf0:0x298fd50,na
0x298ffd0,funccall,close,2,31,0,0x2990110:0x2990070,0x298b4d0:0x298a630_0:0x298fee0:0x298d230:0x298d280:0x298f490:0x298f4e0:0x298eea0:0x298eef0:0x298ed10:0x298da50:0x298daa0:0x298e9a0:0x298d5a0:0x298fc60:0x298fbc0:0x298f990:0x298f8a0:0x298fa30:0x298fdf0:0x298fd50:0x298eb80:0x298e2c0:0x298e130:0x298ea40:0x298daf0:0x298db90:0x298d640:0x298d4b0:0x298d3c0:0x298af80,na
0x2990070,funccall,dcgettext,1,1,0,0x2990110,0x298ffd0,na
0x2990110,ret,0,36,0,na,0x298f710:0x298fbc0:0x298ffd0:0x2990070:0x298cb00:0x298cba0:0x298fee0:0x298d230:0x298d280:0x298b4d0:0x298a630_0:0x298f490:0x298f4e0:0x298eea0:0x298eef0:0x298ed10:0x298da50:0x298daa0:0x298e9a0:0x298d5a0:0x298fc60:0x298f8a0:0x298f990:0x298fa30:0x298fdf0:0x298fd50:0x298eb80:0x298e2c0:0x298e130:0x298ea40:0x298daf0:0x298db90:0x298d640:0x298d4b0:0x298d3c0:0x298af80,na
